New Mexico,new-mexico
Campbell,campbell
NC Wilmington,unc-wilmington
Texas A&M,texas-am
Tennessee Martin,ut-martin
San Francisco,san-francisco
Buffalo,buffalo
Stetson,stetson
Furman,furman
UC Riverside,uc-riverside
Clemson,clemson
Texas St.,texas-st
Lafayette,lafayette
Missouri St.,missouri-st
Providence,providence
San Diego St.,san-diego-st
Norfolk St.,norfolk-st
Florida International,fiu
Wisconsin Milwaukee,milwaukee
Richmond,richmond
Connecticut,connecticut
Bethune Cookman,bethune-cookman
Detroit,detroit
Colgate,colgate
Illinois Chicago,ill-chicago
St. Francis PA,st-francis-pa
San Jose St.,san-jose-st
Mount St. Mary's,mt-st-marys
California,california
Hartford,hartford
UC Davis,uc-davis
College of Charleston,col-of-charleston
Wagner,wagner
Nevada,nevada
NC Greensboro,unc-greensboro
Auburn,auburn
Oregon St.,oregon-st
Hawaii,hawaii
Dayton,dayton
Washington,washington
South Carolina St.,south-carolina-st
Florida,florida
Kent St.,kent-st
Georgia Tech,georgia-tech
Sacramento St.,sacramento-st
Florida Atlantic,fla-atlantic
Stephen F. Austin,stephen-f-austin
Northern Arizona,northern-ariz
Tulsa,tulsa
Belmont,belmont
Texas Tech,texas-tech
Florida St.,florida-st
South Carolina,south-carolina
Winthrop,winthrop
Montana,montana
Arizona St.,arizona-st
Santa Clara,santa-clara
St. John's,st-johns-ny
Delaware,delaware
Binghamton,binghamton
Texas A&M Corpus Chris,am-corpus-chris
Boston College,boston-college
Jackson St.,jackson-st
Lamar,lamar
Villanova,villanova
Iowa St.,iowa-st
Arkansas,arkansas
La Salle,la-salle
Fairfield,fairfield
UCLA,ucla
Ohio St.,ohio-st
Ball St.,ball-st
Appalachian St.,appalachian-st
Marquette,marquette
Holy Cross,holy-cross
Southern California,southern-california
Texas Pan American,tex-pan-american
St. Bonaventure,st-bonaventure
DePaul,depaul
Army,army
Texas,texas
Eastern Kentucky,eastern-ky
Texas Southern,texas-southern
Tennessee,tennessee
George Washington,george-washington
Minnesota,minnesota
Quinnipiac,quinnipiac
Utah,utah
Wisconsin Green Bay,green-bay
South Alabama,south-ala
Weber St.,weber-st
Houston,houston
Old Dominion,old-dominion
Longwood,longwood
Siena,siena
Columbia,columbia
Marist,marist
San Diego,san-diego
Howard,howard
Toledo,toledo
Southeastern Louisiana,southeastern-la
Bucknell,bucknell
New Mexico St.,new-mexico-st
Brigham Young,byu
Georgia,georgia
East Tennessee St.,east-tenn-st
Marshall,marshall
Missouri,missouri
Princeton,princeton
South Dakota,south-dakota
Wisconsin,wisconsin
Akron,akron
Coastal Carolina,coastal-caro
Morgan St.,morgan-st
Seton Hall,seton-hall
South Florida,south-fla
Maine,maine
Texas San Antonio,utsa
Colorado St.,colorado-st
Wake Forest,wake-forest
North Carolina St.,north-carolina-st
Cleveland St.,cleveland-st
Gardner Webb,gardner-webb
Utah Valley,utah-valley
Liberty,liberty
St. Peter's,st-peters
Elon,elon
Oklahoma,oklahoma
NC Asheville,unc-asheville
North Dakota,north-dakota
Mississippi Valley St.,mississippi-val
Pennsylvania,penn
Brown,brown
SIU Edwardsville,siu-edwardsville
Jacksonville St.,jacksonville-st
St. Louis,st-louis
Nebraska,nebraska
Bowling Green,bowling-green
Western Illinois,western-ill
Cincinnati,cincinnati
Wofford,wofford
Washington St.,washington-st
North Carolina,north-carolina
South Carolina Upstate,sc-upstate
North Texas,north-texas
Idaho St.,idaho-st
Gonzaga,gonzaga
Hampton,hampton
William & Mary,william-mary
Jacksonville,jacksonville
Charleston Southern,charleston-so
Rice,rice
Pepperdine,pepperdine
Virginia,virginia
South Dakota St.,south-dakota-st
Utah St.,utah-st
Drake,drake
Yale,yale
Niagara,niagara
Massachusetts,massachusetts
Eastern Illinois,eastern-ill
James Madison,james-madison
Alabama,alabama
Denver,denver
Southeast Missouri St.,southeast-mo-st
Mississippi,mississippi
Central Michigan,central-mich
Florida Gulf Coast,fla-gulf-coast
Eastern Washington,eastern-wash
Towson,towson
Drexel,drexel
Syracuse,syracuse
Central Connecticut,central-conn-st
Portland St.,portland-st
Illinois St.,illinois-st
Samford,samford
Virginia Tech,virginia-tech
